적재_연월일,정류장_ID,정류장_명,행정구역코드
202306,183002020,동아마이스터고,
202306,183002021,대전보건대학,
202306,183002022,대전보건대학,
202306,183002023,명석고등학교,
202306,183002024,우암사적공원,
202306,183002025,우암사적공원,
202306,183002026,가오동,
202306,183002027,가오동,
202306,183002028,가오동,
202306,183002029,가오동,
202306,183002030,가오주공아파트,
202306,183002031,가오주공아파트,
202306,183002032,가오고등학교,
202306,183002033,가오변전소,
202306,183002034,가오변전소,
202306,183002035,가오동네거리,
202306,183002036,가오동네거리,
202306,183002037,가오고등학교,
202306,183002038,동구청,
202306,183002039,동구청,
202306,183002040,은어송초등학교,
202306,183002041,은어송마을6단지,
202306,183002042,은어송마을1단지,
202306,183002043,은어송마을6단지,
202306,183002044,홈플러스가오점,
202306,183002045,홈플러스가오점,
202306,183002046,은어송마을5단지,
202306,183002047,은어송마을3단지후문,
202306,183002048,은어송마을5단지,
202306,183002049,은어송마을4단지,
202306,183002050,은어송마을3단지,
202306,183002051,구도교,
202306,183002052,구도교,
202306,183002053,구도동,
202306,183002054,구도동,
202306,183002055,낭월공영차고지,
202306,183002056,낭월차고지,
202306,183002057,낭월공영차고지,
202306,183002058,낭월공영차고지기점,
202306,183002059,오투그란데아파트,
202306,183002060,산내주공아파트,
202306,183002061,산내주공아파트,
202306,183002062,석천들마을아파트,
202306,183002063,e편한세상삼거리,
202306,183002064,e편한세상아파트,
202306,183002065,석천들마을아파트,
202306,183002066,산내초등학교,
202306,183002067,산내초등학교,
202306,183002068,방아실입구.와정리,
202306,183002069,방아실입구.와정리,
202306,183002070,대동역2번출구,
202306,183002071,대동역3번출구,
202306,183002072,새들뫼아파트,
202306,183002073,대동역7번출구,
202306,183002074,자양초등학교,
202306,183002075,충남중네거리,
202306,183002076,펜타뷰아파트,
202306,183002077,우송정보대학,
202306,183002078,충남중학교,
202306,183002079,충남중학교,
202306,183002080,대동초등학교,
202306,183002081,대동초등학교,
202306,183002082,안대별,
202306,183002083,안대별,
202306,183002084,대별동,
202306,183002085,대별동,
202306,183002086,감나무골입구,
202306,183002087,감나무골입구,
202306,183002088,토토자연학습원,
202306,183002089,토토자연학습원,
202306,183002090,이사동입구,
202306,183002091,이사동입구,
202306,183002092,면허시험장,
202306,183002093,면허시험장,
202306,183002094,은어송초등학교,
202306,183002095,은어송마을2단지,
202306,183002096,은어송중학교입구,
202306,185003291,강변아파트,
202306,185003292,만년중학교,
202306,185003293,만년동,
202306,185003294,둔천초등학교,
202306,185003295,서구보건소,
202306,185003296,서구보건소,
202306,185003297,문화예술의전당,
